ResponseId,LocationLatitude,LocationLongitude,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q1.3,Q2.3,Q3.2,Q4.3,Q5.3,Q6.2
R_7Ra3tKanMmEj1rD,36.0113,-115.2038,2.9,5.778,6.276,3.0,4,4,4,2,2,2
R_1kFDwrV5exUIKM5,33.9576,-118.267,3.449,13.941,14.655,12.0,5,4,4,1,3,2
R_67QXkvAGtsZkOfT,40.8771,-85.5045,8.535,26.118,27.195,3.0,5,1,1,1,2,2
R_1I5w1zR2vkI48zn,38.9053,-104.7021,6.013,9.701,10.57,3.0,4,1,1,2,3,1
R_7gqATTsRWbeFpNn,30.3415,-81.7358,1.694,8.128,8.802,7.0,3,1,1,1,4,2
R_7bOfQhlC6RDV9HC,32.7797,-96.8022,5.632,9.862,10.626,3.0,4,3,3,2,3,2
R_3gRAZXKcJlTtqsd,40.7251,-73.2454,6.166,10.438,11.2,4.0,5,4,4,2,2,2
R_30UajxDma0pjdY8,33.5674,-117.1758,6.709,12.948,15.508,3.0,4,3,3,1,4,2
R_7nQ8AG5pTHPjqaW,29.7539,-95.359,6.948,11.589,12.72,3.0,4,5,4,2,2,3
R_51jtLlse0sX7NVt,29.7738,-95.406,6.407,13.725,14.74,5.0,5,5,5,1,4,1
R_7zLrnr7puB2hhm1,43.4937,-70.4914,4.897,12.57,13.645,6.0,4,3,2,1,2,1
R_6AwJIHSpmOVfXnX,42.4607,-83.4582,5.384,12.341,13.75,3.0,4,4,4,2,2,2
R_7CB0hidvTGznHkm,39.7697,-89.6886,14.088,19.016,20.239,3.0,5,5,5,1,4,2
R_7eixz7viaeFI5Dr,33.9547,-118.212,5.077,9.332,9.89,3.0,4,4,2,2,2,1
R_3Fy3RtDtkeBxC6U,34.0544,-118.244,2.756,6.062,6.455,4.0,4,5,4,2,2,2
R_5zbZOSc9iB8IzBx,29.943,-95.2596,6.754,10.209,11.328,3.0,4,4,4,2,1,2
R_5ImwagwTkWyf45u,42.0744,-71.6385,9.497,40.834,41.807,5.0,5,3,4,2,3,2
R_5ffLd2w0EMcMvtU,39.7435,-105.0619,4.015,8.008,8.649,5.0,5,5,5,1,4,2
R_11asJrEIexJmjR5,32.6539,-116.9773,9.324,13.536,14.724,3.0,3,3,3,2,3,3
R_6qVHcgYrL3KmeDe,42.6987,-71.1351,18.228,70.353,71.759,4.0,4,4,4,2,5,2
R_5azfYFNePiOlf3s,40.7306,-73.4313,10.879,85.062,85.529,7.0,5,4,4,1,3,3
R_13seeGtqPhGtZ6x,40.0471,-82.9709,2.861,5.149,5.4,4.0,4,4,4,1,2,2
R_6GH1aX584gnm4Av,40.9451,-74.2531,5.11,12.416,13.283,5.0,5,1,3,2,4,2
R_5bT0IC6MS0yNryx,35.2522,-80.8263,1.531,14.033,14.688,8.0,4,3,3,1,2,3
R_1tJE8xTV0viF0JP,28.4797,-82.5562,7.726,11.903,13.667,3.0,2,1,1,2,4,2
R_3s0BqgfkivuaerV,40.745,-75.3199,5.898,13.084,13.823,6.0,5,4,4,2,1,2
R_30OzVL9MWoyPX7i,41.9905,-87.6679,7.021,10.897,11.516,4.0,5,3,3,1,2,3
R_7BVqMilZlX1MsSa,36.3402,-79.6622,1.445,9.501,10.241,6.0,5,5,5,2,2,3
R_5mfqrWtHyXCcIsQ,36.0344,-79.482,12.879,25.458,26.338,7.0,5,4,3,1,4,2
R_7qVW1NFX2MdVnnJ,29.7212,-95.3626,2.929,5.177,5.716,3.0,4,2,3,2,2,2
R_3YaABPe9NKWQ9aU,38.6879,-77.2978,0.0,0.0,5.187,0.0,5,2,2,2,2,2
R_11bdtzmDpS2XUXs,37.751,-97.822,3.323,7.004,8.727,3.0,4,5,5,2,3,3
R_1tMaMubm1eANmfa,37.26,-121.9173,5.603,10.112,10.603,5.0,4,4,4,1,2,2
R_5PWW5RjWToyCnny,40.1117,-82.9728,2.545,11.357,12.287,7.0,5,4,4,1,2,3
R_1tXWYxbB4Msaytj,42.2546,-71.4564,6.195,19.793,20.589,15.0,4,1,1,1,2,3
R_1q89XsUM1UChRhx,25.8906,-80.1784,0.99,10.252,10.779,9.0,4,4,3,1,3,2
R_3wpno4FJUts6dA1,42.4188,-71.1557,34.637,42.861,45.141,3.0,4,3,3,2,5,2
R_3QWB3DRp7AcPrK6,30.1024,-95.2297,8.667,11.311,11.793,3.0,4,4,4,1,2,2
R_11MFcMBSBRKhF3X,39.018,-77.539,4.438,7.841,9.588,3.0,4,5,4,1,2,2
R_1foAsrJNVmxHnMJ,33.9571,-118.3622,1.734,15.951,16.298,15.0,5,5,4,2,2,3
R_6OHrF11mWsBcj1k,44.0197,-88.5514,11.496,15.05,15.846,3.0,4,4,4,1,2,2
R_7DGNXYl6RbHRTZ4,42.5586,-83.4773,10.239,34.851,35.733,5.0,5,2,4,1,2,2
